size,threads,run,time_ms
64,4,1,219
64,4,2,219
64,4,3,215
64,4,4,218
64,4,5,215
64,4,6,218
64,4,7,265
64,4,8,223
64,4,9,215
64,4,10,216
64,4,11,218
64,4,12,217
64,4,13,215
64,4,14,222
64,4,15,215
64,4,16,215
64,4,17,282
64,4,18,231
64,4,19,215
64,4,20,216
64,4,21,217
64,4,22,217
64,4,23,218
64,4,24,215
64,4,25,220
64,4,26,220
64,4,27,217
64,4,28,221
64,4,29,216
64,4,30,214
64,4,31,215
64,4,32,217
64,4,33,217
64,4,34,223
64,4,35,232
64,4,36,216
64,4,37,217
64,4,38,217
64,4,39,213
64,4,40,216
# avg_ms=220.675
# std_ms=13.0273627218704
