size,threads,run,time_ms
128,2,1,2.109
128,2,2,2.079
128,2,3,2.1
128,2,4,2.103
128,2,5,2.083
128,2,6,2.104
128,2,7,2.093
128,2,8,2.104
128,2,9,2.1
128,2,10,2.103
128,2,11,2.115
128,2,12,2.095
128,2,13,2.096
128,2,14,2.082
128,2,15,2.103
128,2,16,2.092
128,2,17,2.107
128,2,18,2.105
128,2,19,2.099
128,2,20,2.122
128,2,21,2.1
128,2,22,2.096
128,2,23,2.1
128,2,24,2.075
128,2,25,2.099
128,2,26,2.102
128,2,27,2.11
128,2,28,2.1
128,2,29,2.106
128,2,30,2.054
128,2,31,2.096
128,2,32,2.097
128,2,33,2.099
128,2,34,2.103
128,2,35,2.096
128,2,36,2.1
128,2,37,2.102
128,2,38,2.098
128,2,39,2.11
128,2,40,2.077
# avg_ms=2.09785
# std_ms=0.0119111023408566
