size,threads,run,time_ms
512,2,1,149.05
512,2,2,149.329
512,2,3,148.193
512,2,4,148.071
512,2,5,148.41
512,2,6,148.508
512,2,7,148.036
512,2,8,147.908
512,2,9,148.65
512,2,10,148.797
512,2,11,148.191
512,2,12,148.42
512,2,13,148.685
512,2,14,148.593
512,2,15,148.817
512,2,16,149.146
512,2,17,148.62
512,2,18,148.728
512,2,19,148.714
512,2,20,148.528
512,2,21,148.661
512,2,22,148.48
512,2,23,148.883
512,2,24,148.542
512,2,25,148.418
512,2,26,148.596
512,2,27,149.305
512,2,28,148.716
512,2,29,148.475
512,2,30,148.415
512,2,31,148.451
512,2,32,150.046
512,2,33,148.654
512,2,34,149.013
512,2,35,148.869
512,2,36,147.945
512,2,37,147.904
512,2,38,148.878
512,2,39,149.279
512,2,40,148.933
# avg_ms=148.646425
# std_ms=0.429066959540386
