size,threads,run,time_ms
1024,1,1,1631.352
1024,1,2,1949.255
1024,1,3,1290.09
1024,1,4,1340.654
1024,1,5,1291.022
1024,1,6,1647.85
1024,1,7,1290.798
1024,1,8,1293.417
1024,1,9,1693.497
1024,1,10,1289.827
1024,1,11,1289.193
1024,1,12,1754.31
1024,1,13,1694.74
1024,1,14,1687.039
1024,1,15,1290.027
1024,1,16,1307.057
1024,1,17,1325.301
1024,1,18,1290.673
1024,1,19,1730.929
1024,1,20,1288.569
1024,1,21,1299.208
1024,1,22,1299.507
1024,1,23,1683.857
1024,1,24,1288.396
1024,1,25,1289.127
1024,1,26,1667.647
1024,1,27,1292.423
1024,1,28,1289.142
1024,1,29,1298.595
1024,1,30,1289.036
1024,1,31,1302.784
1024,1,32,1639.082
1024,1,33,1307.133
1024,1,34,1861.121
1024,1,35,1288.774
1024,1,36,1567.851
1024,1,37,1292.823
1024,1,38,1299.424
1024,1,39,1494.962
1024,1,40,1337.766
# avg_ms=1436.60645
# std_ms=201.655215519212
