size,threads,run,time_ms
128,1,1,2.244
128,1,2,2.241
128,1,3,2.273
128,1,4,2.255
128,1,5,2.375
128,1,6,2.237
128,1,7,2.242
128,1,8,2.256
128,1,9,2.266
128,1,10,2.243
128,1,11,2.278
128,1,12,2.253
128,1,13,2.332
128,1,14,2.276
128,1,15,2.243
128,1,16,2.243
128,1,17,2.266
128,1,18,2.273
128,1,19,2.282
128,1,20,2.258
128,1,21,2.24
128,1,22,2.247
128,1,23,2.277
128,1,24,2.24
128,1,25,2.241
128,1,26,2.25
128,1,27,2.273
128,1,28,2.306
128,1,29,2.288
128,1,30,2.28
128,1,31,2.281
128,1,32,2.271
128,1,33,2.277
128,1,34,2.283
128,1,35,2.264
128,1,36,2.28
128,1,37,2.299
128,1,38,2.278
128,1,39,2.267
128,1,40,2.27
# avg_ms=2.2687
# std_ms=0.026920776458494
