size,threads,run,time_ms
64,1,1,403
64,1,2,344
64,1,3,305
64,1,4,294
64,1,5,283
64,1,6,281
64,1,7,271
64,1,8,261
64,1,9,259
64,1,10,260
64,1,11,257
64,1,12,255
64,1,13,257
64,1,14,259
64,1,15,257
64,1,16,257
64,1,17,260
64,1,18,260
64,1,19,257
64,1,20,256
64,1,21,261
64,1,22,260
64,1,23,259
64,1,24,260
64,1,25,260
64,1,26,260
64,1,27,257
64,1,28,259
64,1,29,258
64,1,30,260
64,1,31,259
64,1,32,260
64,1,33,260
64,1,34,258
64,1,35,256
64,1,36,258
64,1,37,260
64,1,38,261
64,1,39,258
64,1,40,260
# avg_ms=268
# std_ms=27.4338364910084
