size,threads,run,time_ms
512,1,1,161.413
512,1,2,162.238
512,1,3,162.502
512,1,4,162.278
512,1,5,162.219
512,1,6,161.849
512,1,7,162.217
512,1,8,162.005
512,1,9,162.549
512,1,10,162.231
512,1,11,162.678
512,1,12,162.538
512,1,13,162.708
512,1,14,162.208
512,1,15,162.091
512,1,16,161.546
512,1,17,162.201
512,1,18,162.303
512,1,19,162.34
512,1,20,162.305
512,1,21,162.088
512,1,22,162.141
512,1,23,161.412
512,1,24,162.503
512,1,25,162.294
512,1,26,162.258
512,1,27,162.208
512,1,28,162.502
512,1,29,161.895
512,1,30,161.857
512,1,31,161.738
512,1,32,161.948
512,1,33,162.45
512,1,34,162.219
512,1,35,162.6
512,1,36,162.027
512,1,37,161.788
512,1,38,162.113
512,1,39,162.271
512,1,40,161.822
# avg_ms=162.163825
# std_ms=0.317440799043594
