size,threads,run,time_ms
256,1,1,19.539
256,1,2,19.502
256,1,3,19.483
256,1,4,19.427
256,1,5,19.41
256,1,6,19.458
256,1,7,19.402
256,1,8,19.413
256,1,9,19.48
256,1,10,19.479
256,1,11,19.491
256,1,12,19.427
256,1,13,19.429
256,1,14,19.395
256,1,15,19.413
256,1,16,19.398
256,1,17,19.595
256,1,18,19.487
256,1,19,19.54
256,1,20,19.466
256,1,21,19.483
256,1,22,19.429
256,1,23,19.426
256,1,24,19.421
256,1,25,19.455
256,1,26,19.416
256,1,27,19.458
256,1,28,19.707
256,1,29,19.617
256,1,30,19.487
256,1,31,19.539
256,1,32,19.495
256,1,33,19.489
256,1,34,19.451
256,1,35,19.582
256,1,36,19.431
256,1,37,19.46
256,1,38,19.601
256,1,39,19.54
256,1,40,19.489
# avg_ms=19.48025
# std_ms=0.0687790032062933
