size,threads,run,time_ms
256,4,1,11.782
256,4,2,11.734
256,4,3,11.727
256,4,4,11.707
256,4,5,11.769
256,4,6,11.721
256,4,7,11.774
256,4,8,11.702
256,4,9,11.704
256,4,10,11.715
256,4,11,11.718
256,4,12,11.706
256,4,13,11.778
256,4,14,11.687
256,4,15,11.71
256,4,16,11.692
256,4,17,11.717
256,4,18,11.716
256,4,19,11.716
256,4,20,11.723
256,4,21,11.71
256,4,22,11.738
256,4,23,11.723
256,4,24,11.718
256,4,25,11.778
256,4,26,11.747
256,4,27,11.701
256,4,28,11.702
256,4,29,11.694
256,4,30,11.721
256,4,31,11.775
256,4,32,11.714
256,4,33,11.705
256,4,34,11.7
256,4,35,11.672
256,4,36,11.696
256,4,37,11.76
256,4,38,11.705
256,4,39,11.7
256,4,40,11.707
# avg_ms=11.7216
# std_ms=0.0279732472927718
