size,threads,run,time_ms
512,4,1,98.455
512,4,2,100.894
512,4,3,99.332
512,4,4,100.781
512,4,5,99.325
512,4,6,101.004
512,4,7,100.784
512,4,8,99.784
512,4,9,99.773
512,4,10,99.247
512,4,11,99.937
512,4,12,99.798
512,4,13,100.153
512,4,14,103.242
512,4,15,100.737
512,4,16,101.907
512,4,17,100.35
512,4,18,100.678
512,4,19,100.431
512,4,20,100.628
512,4,21,101.833
512,4,22,101.095
512,4,23,100.632
512,4,24,101.186
512,4,25,101.832
512,4,26,100.836
512,4,27,99.3
512,4,28,97.991
512,4,29,100.111
512,4,30,99.856
512,4,31,99.904
512,4,32,99.999
512,4,33,99.83
512,4,34,98.595
512,4,35,99.184
512,4,36,99.036
512,4,37,99.134
512,4,38,100.234
512,4,39,99.966
512,4,40,100.936
# avg_ms=100.21825
# std_ms=1.02869044831841
