size,threads,run,time_ms
256,2,1,16.87
256,2,2,16.868
256,2,3,16.899
256,2,4,16.81
256,2,5,17.153
256,2,6,16.786
256,2,7,16.881
256,2,8,16.825
256,2,9,16.979
256,2,10,16.889
256,2,11,16.875
256,2,12,16.952
256,2,13,17.046
256,2,14,17.024
256,2,15,16.933
256,2,16,16.918
256,2,17,16.838
256,2,18,16.96
256,2,19,16.888
256,2,20,16.965
256,2,21,16.862
256,2,22,16.978
256,2,23,16.883
256,2,24,16.965
256,2,25,16.945
256,2,26,16.871
256,2,27,16.92
256,2,28,16.87
256,2,29,16.974
256,2,30,16.866
256,2,31,16.914
256,2,32,16.852
256,2,33,16.954
256,2,34,16.909
256,2,35,16.896
256,2,36,16.895
256,2,37,16.962
256,2,38,16.97
256,2,39,17.061
256,2,40,16.904
# avg_ms=16.92025
# std_ms=0.0714827395339745
