size,threads,run,time_ms
64,2,1,278
64,2,2,266
64,2,3,277
64,2,4,279
64,2,5,268
64,2,6,274
64,2,7,265
64,2,8,271
64,2,9,271
64,2,10,276
64,2,11,274
64,2,12,275
64,2,13,272
64,2,14,272
64,2,15,268
64,2,16,271
64,2,17,284
64,2,18,265
64,2,19,266
64,2,20,272
64,2,21,272
64,2,22,266
64,2,23,274
64,2,24,274
64,2,25,274
64,2,26,268
64,2,27,270
64,2,28,273
64,2,29,270
64,2,30,265
64,2,31,271
64,2,32,275
64,2,33,271
64,2,34,267
64,2,35,272
64,2,36,269
64,2,37,262
64,2,38,271
64,2,39,276
64,2,40,268
# avg_ms=271.3
# std_ms=4.45029529414939
