size,threads,run,time_ms
256,4,1,15.835
256,4,2,9.407
256,4,3,8.453
256,4,4,13.917
256,4,5,6.7
256,4,6,11.482
256,4,7,13.133
256,4,8,15.612
256,4,9,8.913
256,4,10,5.566
256,4,11,7.357
256,4,12,7.573
256,4,13,6.558
256,4,14,10.811
256,4,15,9.844
256,4,16,6.859
256,4,17,6.601
256,4,18,8.852
256,4,19,12.387
256,4,20,6.593
256,4,21,8.783
256,4,22,10.964
256,4,23,6.495
256,4,24,15.036
256,4,25,8.841
256,4,26,6.15
256,4,27,6.337
256,4,28,6.039
256,4,29,6.341
256,4,30,16.489
256,4,31,10.488
256,4,32,7.8
256,4,33,12.902
256,4,34,9.369
256,4,35,7.845
256,4,36,5.986
256,4,37,10.338
256,4,38,5.601
256,4,39,5.604
256,4,40,5.548
# avg_ms=9.135225
# std_ms=3.19052000815477
