size,threads,run,time_ms
1024,1,1,3653.536
1024,1,2,3904.715
1024,1,3,4005.833
1024,1,4,4063.081
1024,1,5,3957.217
1024,1,6,3857.125
1024,1,7,3964.473
1024,1,8,3986.246
1024,1,9,3916.795
1024,1,10,3688.597
1024,1,11,3857.098
1024,1,12,3811.83
1024,1,13,3806.986
1024,1,14,3731.791
1024,1,15,3976.978
1024,1,16,3663.529
1024,1,17,3939.334
1024,1,18,3918.763
1024,1,19,3723.891
1024,1,20,3721.862
1024,1,21,3794.409
1024,1,22,3857.652
1024,1,23,3848.822
1024,1,24,3839.864
1024,1,25,3899.689
1024,1,26,3636.657
1024,1,27,3640.408
1024,1,28,3692.807
1024,1,29,4055.482
1024,1,30,4020.188
1024,1,31,3839.592
1024,1,32,3629.53
1024,1,33,3649.254
1024,1,34,3985.63
1024,1,35,3715.647
1024,1,36,3805.362
1024,1,37,3915.599
1024,1,38,4001.277
1024,1,39,3584.057
1024,1,40,3812.728
# avg_ms=3834.35835
# std_ms=134.573833384779
