size,threads,run,time_ms
256,2,1,15.844
256,2,2,13.285
256,2,3,13.837
256,2,4,15.79
256,2,5,16.471
256,2,6,19.61
256,2,7,20.818
256,2,8,13.81
256,2,9,10.972
256,2,10,15.429
256,2,11,15.407
256,2,12,13.278
256,2,13,15.297
256,2,14,13.523
256,2,15,14.493
256,2,16,19.177
256,2,17,24.14
256,2,18,21.495
256,2,19,18.719
256,2,20,16.074
256,2,21,17.618
256,2,22,22.196
256,2,23,23.691
256,2,24,14.806
256,2,25,20.705
256,2,26,15.97
256,2,27,19.238
256,2,28,12.563
256,2,29,12.265
256,2,30,12.576
256,2,31,19.681
256,2,32,19.83
256,2,33,21.612
256,2,34,17.97
256,2,35,20.507
256,2,36,20.864
256,2,37,17.667
256,2,38,26.568
256,2,39,25.196
256,2,40,20.918
# avg_ms=17.74775
# std_ms=3.88912496749854
