size,threads,run,time_ms
128,8,1,1.417
128,8,2,1.199
128,8,3,1.187
128,8,4,1.476
128,8,5,1.558
128,8,6,1.519
128,8,7,1.241
128,8,8,1.363
128,8,9,1.248
128,8,10,1.389
128,8,11,1.153
128,8,12,1.503
128,8,13,1.487
128,8,14,1.375
128,8,15,1.33
128,8,16,1.293
128,8,17,1.787
128,8,18,1.191
128,8,19,1.692
128,8,20,1.586
128,8,21,1.586
128,8,22,1.885
128,8,23,1.522
128,8,24,1.837
128,8,25,1.676
128,8,26,1.24
128,8,27,1.137
128,8,28,1.2
128,8,29,1.61
128,8,30,1.305
128,8,31,1.276
128,8,32,1.532
128,8,33,1.525
128,8,34,1.552
128,8,35,1.461
128,8,36,1.474
128,8,37,2.354
128,8,38,2.586
128,8,39,1.913
128,8,40,1.544
# avg_ms=1.505225
# std_ms=0.302489710568806
