size,threads,run,time_ms
128,2,1,2.14
128,2,2,2.644
128,2,3,1.543
128,2,4,4.797
128,2,5,1.243
128,2,6,1.27
128,2,7,1.297
128,2,8,1.294
128,2,9,1.435
128,2,10,1.5
128,2,11,2.228
128,2,12,1.368
128,2,13,1.258
128,2,14,1.253
128,2,15,1.687
128,2,16,1.343
128,2,17,2.144
128,2,18,1.687
128,2,19,1.509
128,2,20,1.335
128,2,21,1.506
128,2,22,4.035
128,2,23,2.977
128,2,24,4.105
128,2,25,2.819
128,2,26,1.823
128,2,27,1.94
128,2,28,1.817
128,2,29,3.959
128,2,30,2.241
128,2,31,1.629
128,2,32,1.498
128,2,33,2.765
128,2,34,2.075
128,2,35,3.026
128,2,36,1.521
128,2,37,2.851
128,2,38,1.866
128,2,39,1.507
128,2,40,1.644
# avg_ms=2.064475
# std_ms=0.900709862147201
