size,threads,run,time_ms
64,4,1,2.451
64,4,2,2.671
64,4,3,3.284
64,4,4,3.542
64,4,5,4.654
64,4,6,3.331
64,4,7,1.833
64,4,8,3.143
64,4,9,3.004
64,4,10,3.131
64,4,11,2.01
64,4,12,3.177
64,4,13,2.71
64,4,14,1.289
64,4,15,3.942
64,4,16,3.301
64,4,17,4.776
64,4,18,3.306
64,4,19,3.926
64,4,20,3.27
64,4,21,2.755
64,4,22,3.12
64,4,23,3.966
64,4,24,2.003
64,4,25,4.508
64,4,26,3.408
64,4,27,3.384
64,4,28,3.269
64,4,29,3.385
64,4,30,4.334
64,4,31,3.025
64,4,32,3.402
64,4,33,3.264
64,4,34,3.315
64,4,35,3.305
64,4,36,3.448
64,4,37,2.642
64,4,38,2.437
64,4,39,3.315
64,4,40,3.798
# avg_ms=3.22085
# std_ms=0.727708470439034
