size,threads,run,time_ms
512,4,1,87.857
512,4,2,87.086
512,4,3,88.135
512,4,4,86.629
512,4,5,84.27
512,4,6,90.428
512,4,7,84.788
512,4,8,83.151
512,4,9,84.311
512,4,10,83.889
512,4,11,90.801
512,4,12,87.659
512,4,13,82.666
512,4,14,96.624
512,4,15,91.681
512,4,16,88.217
512,4,17,88.381
512,4,18,89.384
512,4,19,94.417
512,4,20,86.847
512,4,21,84.938
512,4,22,85.316
512,4,23,80.639
512,4,24,80.507
512,4,25,82.121
512,4,26,88.996
512,4,27,81.775
512,4,28,79.016
512,4,29,84.476
512,4,30,87.389
512,4,31,87.102
512,4,32,83.962
512,4,33,88.78
512,4,34,87.028
512,4,35,81.875
512,4,36,94.641
512,4,37,92.099
512,4,38,84.171
512,4,39,88.433
512,4,40,83.642
# avg_ms=86.603175
# std_ms=3.99824351105807
