size,threads,run,time_ms
64,2,1,186
64,2,2,214
64,2,3,178
64,2,4,406
64,2,5,178
64,2,6,176
64,2,7,242
64,2,8,232
64,2,9,212
64,2,10,178
64,2,11,170
64,2,12,417
64,2,13,185
64,2,14,359
64,2,15,404
64,2,16,189
64,2,17,212
64,2,18,557
64,2,19,192
64,2,20,179
64,2,21,254
64,2,22,503
64,2,23,203
64,2,24,209
64,2,25,225
64,2,26,273
64,2,27,470
64,2,28,187
64,2,29,179
64,2,30,177
64,2,31,221
64,2,32,177
64,2,33,256
64,2,34,272
64,2,35,259
64,2,36,284
64,2,37,181
64,2,38,300
64,2,39,282
64,2,40,203
# avg_ms=254.525
# std_ms=99.2184813997979
