size,threads,run,time_ms
512,2,1,159.389
512,2,2,171.074
512,2,3,161.364
512,2,4,156.791
512,2,5,158.27
512,2,6,155.419
512,2,7,151.288
512,2,8,173.293
512,2,9,173.621
512,2,10,161.637
512,2,11,157.097
512,2,12,161.208
512,2,13,188.032
512,2,14,171.133
512,2,15,174.958
512,2,16,168.78
512,2,17,167.315
512,2,18,173.706
512,2,19,165.634
512,2,20,152.628
512,2,21,171.321
512,2,22,166.96
512,2,23,167.054
512,2,24,152.598
512,2,25,163.661
512,2,26,166.448
512,2,27,155.79
512,2,28,157.268
512,2,29,166.623
512,2,30,163.306
512,2,31,169.086
512,2,32,162.388
512,2,33,164.011
512,2,34,163.404
512,2,35,159.06
512,2,36,161.891
512,2,37,164.269
512,2,38,171.977
512,2,39,156.39
512,2,40,171.67
# avg_ms=164.4453
# std_ms=7.51893102808692
