size,threads,run,time_ms
64,8,1,380
64,8,2,463
64,8,3,338
64,8,4,437
64,8,5,796
64,8,6,883
64,8,7,414
64,8,8,391
64,8,9,613
64,8,10,399
64,8,11,555
64,8,12,786
64,8,13,581
64,8,14,424
64,8,15,389
64,8,16,531
64,8,17,478
64,8,18,1.141
64,8,19,822
64,8,20,501
64,8,21,968
64,8,22,608
64,8,23,1.029
64,8,24,511
64,8,25,742
64,8,26,659
64,8,27,427
64,8,28,855
64,8,29,643
64,8,30,518
64,8,31,964
64,8,32,580
64,8,33,582
64,8,34,530
64,8,35,410
64,8,36,386
64,8,37,380
64,8,38,520
64,8,39,637
64,8,40,430
# avg_ms=538.32925
# std_ms=210.72987354087
