size,threads,run,time_ms
64,1,1,522
64,1,2,387
64,1,3,225
64,1,4,254
64,1,5,286
64,1,6,358
64,1,7,286
64,1,8,301
64,1,9,226
64,1,10,224
64,1,11,238
64,1,12,413
64,1,13,235
64,1,14,224
64,1,15,227
64,1,16,235
64,1,17,400
64,1,18,595
64,1,19,726
64,1,20,1.151
64,1,21,300
64,1,22,387
64,1,23,695
64,1,24,478
64,1,25,363
64,1,26,812
64,1,27,358
64,1,28,315
64,1,29,260
64,1,30,266
64,1,31,235
64,1,32,226
64,1,33,225
64,1,34,231
64,1,35,236
64,1,36,224
64,1,37,225
64,1,38,409
64,1,39,231
64,1,40,235
# avg_ms=326.853775
# std_ms=158.431795204004
