size,threads,run,time_ms
128,4,1,2.221
128,4,2,4.852
128,4,3,4.833
128,4,4,2.214
128,4,5,2.033
128,4,6,2.158
128,4,7,1.621
128,4,8,1.185
128,4,9,1.239
128,4,10,817
128,4,11,698
128,4,12,771
128,4,13,745
128,4,14,4.374
128,4,15,738
128,4,16,1.738
128,4,17,750
128,4,18,806
128,4,19,2.218
128,4,20,2.357
128,4,21,766
128,4,22,766
128,4,23,824
128,4,24,797
128,4,25,2.832
128,4,26,1.333
128,4,27,1.113
128,4,28,1.061
128,4,29,1.288
128,4,30,945
128,4,31,2.221
128,4,32,2.128
128,4,33,937
128,4,34,915
128,4,35,2.799
128,4,36,3.861
128,4,37,1.834
128,4,38,4.351
128,4,39,1.667
128,4,40,3.423
# avg_ms=283.44885
# std_ms=390.374951591714
