size,threads,run,time_ms
256,8,1,12.258
256,8,2,8.792
256,8,3,10.872
256,8,4,8.326
256,8,5,10.427
256,8,6,12.289
256,8,7,12.066
256,8,8,9.646
256,8,9,7.898
256,8,10,8.38
256,8,11,7.972
256,8,12,8.033
256,8,13,9.683
256,8,14,5.639
256,8,15,13.443
256,8,16,9.765
256,8,17,6.572
256,8,18,9.123
256,8,19,8.865
256,8,20,9.477
256,8,21,7.04
256,8,22,13.351
256,8,23,10.384
256,8,24,10.54
256,8,25,9.386
256,8,26,7.042
256,8,27,9.007
256,8,28,8.502
256,8,29,8.78
256,8,30,12.345
256,8,31,9.312
256,8,32,9.37
256,8,33,11.166
256,8,34,9.757
256,8,35,8.984
256,8,36,8.618
256,8,37,10.1
256,8,38,6.727
256,8,39,11.428
256,8,40,11.094
# avg_ms=9.561475
# std_ms=1.83514509993638
