size,threads,run,time_ms
512,8,1,87.998
512,8,2,83.631
512,8,3,85.634
512,8,4,83.311
512,8,5,87.709
512,8,6,85.847
512,8,7,81.517
512,8,8,88.102
512,8,9,82.828
512,8,10,83.452
512,8,11,82.397
512,8,12,82.527
512,8,13,82.321
512,8,14,85.596
512,8,15,90.491
512,8,16,83.103
512,8,17,87.235
512,8,18,89.576
512,8,19,84.448
512,8,20,84.976
512,8,21,81.201
512,8,22,84.292
512,8,23,82.43
512,8,24,83.845
512,8,25,83.797
512,8,26,84.521
512,8,27,83.374
512,8,28,79.831
512,8,29,87.155
512,8,30,80.745
512,8,31,82.434
512,8,32,86.106
512,8,33,81.798
512,8,34,85.368
512,8,35,88.214
512,8,36,86.268
512,8,37,86.879
512,8,38,87.998
512,8,39,88.058
512,8,40,84.145
# avg_ms=84.77895
# std_ms=2.57649511436738
