size,threads,run,time_ms
256,1,1,20.999
256,1,2,21.305
256,1,3,24.238
256,1,4,20.484
256,1,5,20.567
256,1,6,20.472
256,1,7,26.22
256,1,8,25.551
256,1,9,24.089
256,1,10,20.952
256,1,11,24.073
256,1,12,20.785
256,1,13,25.017
256,1,14,24.517
256,1,15,21.826
256,1,16,20.69
256,1,17,20.947
256,1,18,24.065
256,1,19,41.729
256,1,20,26.72
256,1,21,21.066
256,1,22,27.852
256,1,23,22.218
256,1,24,25.76
256,1,25,20.145
256,1,26,22.817
256,1,27,22.328
256,1,28,28.029
256,1,29,28.285
256,1,30,25.061
256,1,31,20.549
256,1,32,20.535
256,1,33,24.252
256,1,34,30.859
256,1,35,20.569
256,1,36,20.849
256,1,37,22.897
256,1,38,23.084
256,1,39,21.592
256,1,40,24.536
# avg_ms=23.713225
# std_ms=3.95484603407075
