size,threads,run,time_ms
128,1,1,2.399
128,1,2,4.95
128,1,3,3.464
128,1,4,5.632
128,1,5,2.356
128,1,6,3.573
128,1,7,2.948
128,1,8,2.889
128,1,9,2.353
128,1,10,2.41
128,1,11,5.338
128,1,12,2.69
128,1,13,5.068
128,1,14,2.796
128,1,15,3.757
128,1,16,5.362
128,1,17,2.927
128,1,18,2.836
128,1,19,2.38
128,1,20,2.381
128,1,21,2.312
128,1,22,5.025
128,1,23,6.036
128,1,24,5.437
128,1,25,2.585
128,1,26,6.04
128,1,27,5.723
128,1,28,4.098
128,1,29,6.14
128,1,30,3.214
128,1,31,3.428
128,1,32,3.877
128,1,33,5.538
128,1,34,8.115
128,1,35,3.049
128,1,36,2.585
128,1,37,4.863
128,1,38,3.676
128,1,39,4.309
128,1,40,2.448
# avg_ms=3.925175
# std_ms=1.45684113643007
